,target,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
56,<=50K,46,Private,216666,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
57,<=50K,35,Private,56352,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico
58,<=50K,41,Private,147372,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States
59,<=50K,30,Private,188146,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States
60,<=50K,30,Private,59496,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States
61,<=50K,32,,293936,4,Married-spouse-absent,,Not-in-family,White,Male,0,0,40,
62,<=50K,48,Private,149640,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
63,>50K,42,Private,116632,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
64,<=50K,29,Private,105598,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States
65,<=50K,36,Private,155537,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
66,<=50K,28,Private,183175,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
67,>50K,53,Private,169846,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
68,>50K,49,Self-emp-inc,191681,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
69,<=50K,25,,200681,10,Never-married,,Own-child,White,Male,0,0,40,United-States
70,<=50K,19,Private,101509,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States
71,<=50K,31,Private,309974,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States
72,>50K,29,Self-emp-not-inc,162298,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States
73,<=50K,23,Private,211678,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
74,<=50K,79,Private,124744,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States
75,<=50K,27,Private,213921,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico
76,<=50K,40,Private,32214,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
77,<=50K,67,,212759,6,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States
78,<=50K,18,Private,309634,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States
79,<=50K,31,Local-gov,125927,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
80,<=50K,18,Private,446839,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States
81,<=50K,52,Private,276515,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba
82,<=50K,46,Private,51618,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States
83,<=50K,59,Private,159937,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States
84,>50K,44,Private,343591,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States
85,<=50K,53,Private,346253,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States
86,>50K,49,Local-gov,268234,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
87,<=50K,33,Private,202051,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
88,<=50K,30,Private,54334,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States
89,>50K,43,Federal-gov,410867,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
90,<=50K,57,Private,249977,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
91,<=50K,37,Private,286730,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States
92,<=50K,28,Private,212563,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States
93,<=50K,30,Private,117747,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,
94,>50K,34,Local-gov,226296,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
95,<=50K,29,Local-gov,115585,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States
96,>50K,48,Self-emp-not-inc,191277,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States
97,>50K,37,Private,202683,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States
98,<=50K,48,Private,171095,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England
99,<=50K,32,Federal-gov,249409,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States
100,>50K,76,Private,124191,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
101,>50K,44,Private,198282,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States
102,<=50K,47,Self-emp-not-inc,149116,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
103,<=50K,20,Private,188300,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States
104,<=50K,29,Private,103432,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
105,>50K,32,Self-emp-inc,317660,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States
106,<=50K,17,,304873,6,Never-married,,Own-child,White,Female,34095,0,32,United-States
107,<=50K,30,Private,194901,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
108,<=50K,31,Local-gov,189265,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
109,<=50K,42,Private,124692,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
110,<=50K,24,Private,432376,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States
111,>50K,38,Private,65324,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
112,>50K,56,Self-emp-not-inc,335605,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada
113,<=50K,28,Private,377869,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States
114,<=50K,36,Private,102864,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States
115,<=50K,53,Private,95647,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States
116,<=50K,56,Self-emp-inc,303090,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
117,>50K,49,Local-gov,197371,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
118,<=50K,55,Private,247552,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States
119,<=50K,22,Private,102632,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States
120,<=50K,21,Private,199915,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States
121,<=50K,40,Private,118853,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
122,<=50K,30,Private,77143,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany
123,>50K,29,State-gov,267989,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
124,<=50K,19,Private,301606,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States
125,>50K,47,Private,287828,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
126,<=50K,20,Private,111697,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States
127,>50K,31,Private,114937,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
128,<=50K,35,,129305,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States
129,<=50K,39,Private,365739,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
130,<=50K,28,Private,69621,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States
131,<=50K,24,Private,43323,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States
132,<=50K,38,Self-emp-not-inc,120985,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States
133,<=50K,37,Private,254202,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
134,<=50K,46,Private,146195,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States
135,>50K,38,Federal-gov,125933,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran
136,<=50K,43,Self-emp-not-inc,56920,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States
137,<=50K,27,Private,163127,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States
138,<=50K,20,Private,34310,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States
139,>50K,49,Private,81973,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
140,<=50K,61,Self-emp-inc,66614,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
141,<=50K,27,Private,232782,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
142,<=50K,19,Private,316868,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico
143,>50K,45,Private,196584,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States
144,<=50K,70,Private,105376,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States
145,<=50K,31,Private,185814,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States
146,<=50K,22,Private,175374,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States
147,<=50K,36,Private,108293,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States
148,<=50K,64,Private,181232,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States
149,<=50K,43,,174662,10,Divorced,,Not-in-family,White,Female,0,0,40,United-States
150,<=50K,47,Local-gov,186009,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico
151,<=50K,34,Private,198183,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
152,<=50K,33,Private,163003,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines
153,<=50K,21,Private,296158,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States
154,>50K,52,,252903,9,Divorced,,Not-in-family,White,Male,0,0,45,United-States
155,<=50K,48,Private,187715,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States
156,<=50K,23,Private,214542,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
157,<=50K,71,Self-emp-not-inc,494223,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States
158,<=50K,29,Private,191535,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States
159,<=50K,42,Private,228456,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States
160,<=50K,68,,38317,2,Divorced,,Not-in-family,White,Female,0,0,20,United-States
161,<=50K,25,Private,252752,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States
162,<=50K,44,Self-emp-inc,78374,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States
163,<=50K,28,Private,88419,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England
164,>50K,45,Self-emp-not-inc,201080,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
165,<=50K,36,Private,207157,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico
166,<=50K,39,Federal-gov,235485,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States
167,<=50K,46,State-gov,102628,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States
168,<=50K,18,Private,25828,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States
169,<=50K,66,Local-gov,54826,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States
170,<=50K,27,Private,124953,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States
171,<=50K,28,State-gov,175325,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
172,>50K,51,Private,96062,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States
173,<=50K,27,Private,428030,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States
174,>50K,28,State-gov,149624,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
175,<=50K,27,Private,253814,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States
176,<=50K,21,Private,312956,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States
177,<=50K,34,Private,483777,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States
178,<=50K,18,Private,183930,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States
179,<=50K,33,Private,37274,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States
180,>50K,44,Local-gov,181344,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States
181,<=50K,43,Private,114580,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
182,<=50K,30,Private,633742,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States
183,>50K,40,Private,286370,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
184,>50K,37,Federal-gov,29054,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States
185,<=50K,34,Private,304030,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
186,<=50K,41,Self-emp-not-inc,143129,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
187,<=50K,53,,135105,13,Divorced,,Not-in-family,White,Female,0,0,50,United-States
188,<=50K,31,Private,99928,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
189,>50K,58,State-gov,109567,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States
190,<=50K,38,Private,155222,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States
191,<=50K,24,Private,159567,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
192,<=50K,41,Local-gov,523910,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
193,<=50K,47,Private,120939,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States
194,<=50K,41,Federal-gov,130760,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States
195,<=50K,23,Private,197387,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico
196,<=50K,36,Private,99374,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
197,>50K,40,Federal-gov,56795,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States
198,>50K,35,Private,138992,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States
199,<=50K,24,Self-emp-not-inc,32921,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States
200,<=50K,26,Private,397317,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States
201,<=50K,19,,170653,9,Never-married,,Own-child,White,Male,0,0,40,Italy
202,>50K,51,Private,259323,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
203,<=50K,42,Local-gov,254817,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States
204,<=50K,37,State-gov,48211,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States
205,<=50K,18,Private,140164,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
206,>50K,36,Private,128757,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States
207,<=50K,35,Private,36270,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States
208,>50K,58,Self-emp-inc,210563,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States
209,<=50K,17,Private,65368,7,Never-married,Sales,Own-child,White,Female,0,0,12,United-States
210,<=50K,44,Local-gov,160943,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States
211,>50K,37,Private,208358,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
212,<=50K,35,Private,153790,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States
213,<=50K,60,Private,85815,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
214,>50K,54,Self-emp-inc,125417,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
215,>50K,37,Private,635913,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States
216,<=50K,50,Private,313321,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States
217,<=50K,38,Private,182609,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland
218,<=50K,45,Private,109434,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
219,<=50K,25,Private,255004,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
220,<=50K,31,Private,197860,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
221,<=50K,64,,187656,2,Divorced,,Not-in-family,White,Male,0,0,40,United-States
222,<=50K,90,Private,51744,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States
223,<=50K,54,Private,176681,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States
224,<=50K,53,Local-gov,140359,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States
225,<=50K,18,Private,243313,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
226,<=50K,60,,24215,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States
227,<=50K,66,Self-emp-not-inc,167687,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States
228,<=50K,75,Private,314209,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia
229,<=50K,65,Private,176796,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
230,<=50K,35,Private,538583,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States
231,<=50K,41,Private,130408,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States
232,<=50K,25,Private,159732,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States
233,<=50K,33,Private,110978,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States
234,>50K,28,Private,76714,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States
235,<=50K,59,State-gov,268700,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
236,<=50K,40,State-gov,170525,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States
237,>50K,41,Private,180138,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran
238,>50K,38,Local-gov,115076,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States
239,<=50K,23,Private,115458,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States
240,>50K,40,Private,347890,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
241,<=50K,41,Self-emp-not-inc,196001,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States
242,<=50K,24,State-gov,273905,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States
243,<=50K,20,,119156,10,Never-married,,Own-child,White,Male,0,0,20,United-States
244,<=50K,38,Private,179488,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States
245,<=50K,56,Private,203580,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,
246,>50K,58,Private,236596,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States
247,<=50K,32,Private,183916,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States
248,>50K,40,Private,207578,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States
249,<=50K,45,Private,153141,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,
250,>50K,41,Private,112763,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
251,<=50K,42,Private,390781,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States
252,<=50K,59,Local-gov,171328,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States
253,<=50K,19,Local-gov,27382,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
254,<=50K,58,Private,259014,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States
255,>50K,42,Self-emp-not-inc,303044,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia
256,<=50K,20,Private,117789,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States
257,<=50K,32,Private,172579,9,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States
258,<=50K,45,Private,187666,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States
259,<=50K,50,Private,204518,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
260,<=50K,36,Private,150042,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States
